period,16+ Population,16+ Total Activity Level,16+ Employment Level,16+ Unemployment Level,16+ Economically Inactive Level,16+ Economic Activity Rate,16+ Employment Rate,16+ Unemployment Rate,16+ Economic Inactivity Rate,16-64 Population,16-64 Total Activity Level,16-64 Employment Level,16-64 Unemployment Level,16-64 Economically Inactive Level,16-64 Economic Activity Rate,16-64 Employment Rate,16-64 Unemployment Rate,16-64 Economic Inactivity Rate
Apr-Jun 1976,41473000.0,26192000.0,24779000.0,1413000.0,15281000.0,63.2,59.7,5.4,36.8,33860000.0,25762000.0,24364000.0,1399000.0,8097000.0,76.1,72.0,5.4,23.9
May-Jul 1976,41492000.0,26195000.0,24776000.0,1419000.0,15298000.0,63.1,59.7,5.4,36.9,33871000.0,25764000.0,24359000.0,1405000.0,8107000.0,76.1,71.9,5.5,23.9
Jun-Aug 1976,41512000.0,26196000.0,24772000.0,1425000.0,15315000.0,63.1,59.7,5.4,36.9,33880000.0,25769000.0,24359000.0,1410000.0,8110000.0,76.1,71.9,5.5,23.9
Jul-Sep 1976,41535000.0,26198000.0,24768000.0,1430000.0,15336000.0,63.1,59.6,5.5,36.9,33894000.0,25771000.0,24355000.0,1416000.0,8123000.0,76.0,71.9,5.5,24.0
Aug-Oct 1976,41558000.0,26203000.0,24771000.0,1432000.0,15355000.0,63.1,59.6,5.5,36.9,33907000.0,25774000.0,24357000.0,1418000.0,8133000.0,76.0,71.8,5.5,24.0
Sep-Nov 1976,41581000.0,26210000.0,24779000.0,1431000.0,15371000.0,63.0,59.6,5.5,37.0,33921000.0,25776000.0,24359000.0,1417000.0,8145000.0,76.0,71.8,5.5,24.0
Oct-Dec 1976,41604000.0,26220000.0,24788000.0,1432000.0,15384000.0,63.0,59.6,5.5,37.0,33935000.0,25784000.0,24367000.0,1417000.0,8151000.0,76.0,71.8,5.5,24.0
Nov-Jan 1977,41627000.0,26232000.0,24797000.0,1435000.0,15395000.0,63.0,59.6,5.5,37.0,33949000.0,25795000.0,24374000.0,1421000.0,8154000.0,76.0,71.8,5.5,24.0
Dec-Feb 1977,41650000.0,26236000.0,24800000.0,1436000.0,15414000.0,63.0,59.5,5.5,37.0,33963000.0,25803000.0,24382000.0,1422000.0,8159000.0,76.0,71.8,5.5,24.0
Jan-Mar 1977,41674000.0,26239000.0,24803000.0,1436000.0,15434000.0,63.0,59.5,5.5,37.0,33976000.0,25799000.0,24378000.0,1421000.0,8177000.0,75.9,71.8,5.5,24.1
